授業科目名,キーワード,拡張キーワード
社会工学演習,"['統計', '数学', 'システム', 'プログラミング']","['数学', '解析', 'プログラミング', '調査', 'アプリケーション', 'システム', 'ソフトウェア', '統計', '数理', 'モデリング', '方式', '分析', 'アーキテクチャ']"
プログラミング入門,"['プログラミング', 'python', '情報']","['プログラミング', 'データ', '通信', 'コンテンツ', 'アプリケーション', 'モデリング', '機械学習', 'python', '情報']"
プログラミング入門A,"['プログラミング', '情報', 'python']","['プログラミング', 'データ', '通信', 'コンテンツ', 'アプリケーション', 'モデリング', '機械学習', 'python', '情報']"
プログラミング入門B,"['プログラミング', '情報', 'python']","['プログラミング', 'データ', '通信', 'コンテンツ', 'アプリケーション', 'モデリング', '機械学習', 'python', '情報']"
統計学,"['統計', '数学', 'データ', '分析', '検定', 'モデル', '仮説']","['アプリケーション', '原理', '統計', '検定', '解析', '調査', 'アルゴリズム', 'モデリング', '数理', 'モデル', 'データ', '情報', '理論', '分析', '数学', '実証', '仮説', '定理', 'アーキテクチャ']"
経済学の数理,"['意思決定', '統計', '経済', 'システム', 'モデリング', 'ゲーム', '数学', 'ナッシュ均衡', '問題解決']","['プログラミング', 'ゲーム', '統計', 'ナッシュ均衡', '解析', '調査', '財政', '意思決定', 'システム', 'ソフトウェア', 'モデリング', '数理', 'シミュレーション', '問題解決', '社会', '方式', '経済', '分析', '数学', '行政', '金融', 'アーキテクチャ']"
経済学の実証,"['政策', 'データ分析', '統計', '経済', 'ビッグデータ', '分析', '数学', 'データ']","['アプリケーション', '統計', '機械学習', 'ビッグデータ', '戦略', '解析', '調査', '財政', 'コンピューティング', 'アルゴリズム', '数理', '政策', 'データ分析', 'データ', '政治', '社会', '経済', '分析', '数学', '実証', '金融', '情報']"
会計と経営,"['会計', 'リテラシー', '金融', 'マーケティング']","['財務', '金融市場', 'マーケティング', 'コンサルティング', '金融', '会計', '資産運用', 'イノベーション', 'マネジメント', '経済', 'リテラシー']"
社会と最適化,"['統計', 'モデル', '数学', 'リテラシー']","['数学', '解析', '調査', 'リテラシー', '統計', 'モデリング', '数理', 'モデル', '分析', 'アーキテクチャ']"
都市計画入門,"['都市', '緑地', '交通', '環境']","['緑地', '環境', '自動車', '建物', '郊外', '観光', '空間', '交通', 'アプリケーション', '住宅', '公共', '都市', 'インフラ', '地域']"
都市数理,"['統計', '都市', '数学']","['数学', '解析', '郊外', '調査', '統計', '数理', '都市', '地域', '分析']"
計量分析システム演習,"['金融', '経済', '統計', '分析', '数学', '微積分', 'プログラミング', 'データ分析', '代数', '問題解決']","['プログラミング', 'アプリケーション', '統計', '解析', '調査', '財政', '意思決定', 'モデリング', '数理', '代数', '問題解決', '財務', '線形代数', '微積分', 'データ分析', '社会', '方程式', '経済', '分析', '金融市場', '数学', '実証', '金融', '幾何学', '定理']"
計量経済学,"['仮説', '計量経済学', '統計', '分析', '微積分', '微積分', 'データ分析', '数学', '検定', 'データ', '計量経済学']","['アプリケーション', '原理', '統計', '機械学習', '検定', '解析', '調査', 'アルゴリズム', '数理', '線形代数', '微積分', 'データ分析', 'データ', '計量経済学', '理論', '分析', '数学', '実証', '仮説', '定理', '情報']"
マクロ計量分析,"['計量経済学', '統計', '分析', '微積分', '代数', '数学', 'マクロ', '金融', 'モデル']","['統計', '機械学習', '解析', 'マクロ', '調査', 'ミクロ', 'モデル', 'モデリング', '数理', '代数', '財務', '線形代数', '微積分', '計量経済学', '方程式', '経済', '分析', '金融市場', '数学', '実証', '金融', '幾何学', '定理', 'アーキテクチャ']"
金融論,"['金融', '政策', '分析', '情報', '経済', 'マクロ', '実証', '理論', 'ミクロ']","['原理', '戦略', '論理', '解析', 'マクロ', 'コンテンツ', '調査', '財政', 'ミクロ', '政策', '財務', 'データ', '応用', '政治', '社会', '理論', '経済', '分析', '金融市場', '通信', '実証', '金融', '仮説', '情報']"
金融リスク管理論,"['金融', '政策', '分析', '意思決定', '統計']","['金融市場', '財務', '解析', '調査', '実証', '意思決定', '金融', '行政', '政治', '統計', '問題解決', '政策', '戦略', '経済', '分析']"
計量時系列分析,"['時系列', 'データ分析', '分析', '統計', '数学', 'データ', 'モデル']","['事象', '数学', '解析', 'データ分析', 'データ', 'アーキテクチャ', '調査', '実証', 'アプリケーション', 'アルゴリズム', '統計', '数理', 'モデル', 'モデリング', '数値', '時系列', '分析', '情報']"
日本経済論,"['経済', '市場', '景気']","['金融市場', '財政', '金融', '市場', '取引', '社会', '景気', '経済', '投資']"
公共システム演習,"['計量経済学', '統計', '経済', '数学', 'システム', '分析', '経済', '問題解決', '公共']","['統計', '機械学習', '解析', '調査', '財政', '意思決定', 'システム', '交通', 'ソフトウェア', '公共', '数理', 'インフラ', '問題解決', '線形代数', '計量経済学', '社会', '方式', '経済', '分析', '数学', '実証', '金融', '行政', 'アーキテクチャ']"
国際金融論,"['政策', '財政', '金融', '分析', '市場']","['財務', '金融市場', '解析', '調査', '財政', '実証', '行政', '金融', '政治', '市場', '取引', '政策', '戦略', '経済', '分析', '投資']"
公共経済学,"['政策', '政府', '経済', '微積分', '公共', 'ミクロ']","['線形代数', '微積分', 'マクロ', '財政', '交通', '行政', '金融', 'ミクロ', '政治', '政府', '社会', '数理', '公共', 'インフラ', '政策', '戦略', '経済']"
財政学,"['財政', '政府', '政策', '経済']","['財務', '財政', '行政', '金融', '政治', '政府', '社会', '政策', '戦略', '経済']"
マクロ経済学,"['財政', '政府', '政策', '金融', '経済', 'マクロ']","['財務', '金融市場', 'マクロ', '財政', 'ミクロ', '行政', '金融', '政治', '政府', '社会', '政策', '戦略', '経済']"
ネットワーク科学,"['統計', '分析', 'python', '数学', '情報', '現象', 'ネットワーク']","['数学', '解析', 'データ', '通信', 'コンテンツ', 'ネットワーク', '調査', '実証', 'インターネット', '現象', '統計', '数理', 'IP', '機械学習', 'python', '分析', '情報']"
戦略行動システム演習,"['仮説', 'コミュニケーション', '戦略', '統計', '分析', 'プレゼンテーション', '実験']","['学習', 'インタラクション', '原理', '統計', '戦略', '解析', 'マーケティング', '調査', 'システム', 'シミュレーション', '政策', 'プレゼンテーション', '理論', '分析', '実験', 'ワークショップ', '実証', '仮説', 'コミュニケーション', '定理']"
ゲーム論,"['ゲーム', '統計', '経済', 'ナッシュ均衡', '数学', '微積分', '分析', '意思決定']","['線形代数', '数学', '解析', '微積分', 'ゲーム', '調査', '財政', '実証', '金融', '意思決定', '行政', '統計', '社会', 'ナッシュ均衡', '数理', '問題解決', '経済', '分析']"
意思決定論,"['統計', '意思決定', '微積分', '数学', 'モデル']","['線形代数', '数学', '解析', '微積分', '調査', '意思決定', '行政', '統計', '数理', 'モデリング', '問題解決', 'モデル', '分析', 'アーキテクチャ']"
進化ゲーム論,"['ゲーム', 'メカニズム', '統計', '戦略', '数学', 'シミュレーション', '分析']","['数学', '解析', 'ゲーム', 'マーケティング', '調査', '実証', 'システム', '統計', '数理', 'モデリング', 'シミュレーション', '政策', 'メカニズム', '戦略', '最適化', '分析']"
